Last Name,First Name,Team,Bye,Name,Pos,PPR POINTS
Johnson,Juwan,Saints,11,Juwan Johnson,TE,147
Okonkwo,Chig,Titans,7,Chig Okonkwo,TE,146
LaPorta,Sam,Lions,9,Sam LaPorta,TE,142
Knox,Dawson,Bills,13,Dawson Knox,TE,140
Ertz,Zach,Cardinals,14,Zach Ertz,TE,147
Kmet,Cole,Bears,13,Cole Kmet,TE,143
Likely,Isaiah,Ravens,13,Isaiah Likely,TE,133
Smith,Irv,Bengals,7,Irv Smith,TE,140
Henry,Hunter,Patriots,11,Hunter Henry,TE,132
Ferguson,Jake,Cowboys,7,Jake Ferguson,TE,125
Everett,Gerald,Chargers,5,Gerald Everett,TE,140
Fant,Noah,Seahawks,5,Noah Fant,TE,139
Mayer,Michael,Raiders,13,Michael Mayer,TE,131
Conklin,Tyler,Jets,7,Tyler Conklin,TE,137
Hurst,Hayden,Panthers,7,Hayden Hurst,TE,140
Njoku,David,Browns,5,David Njoku,TE,136
Woods,Jelani,Colts,11,Jelani Woods,TE,122
Gesicki,Mike,Patriots,11,Mike Gesicki,TE,123
Washington,Darnell,Steelers,6,Darnell Washington,TE,117
Tonyan,Robert,Bears,13,Robert Tonyan,TE,123
Bryant,Harrison,Browns,5,Harrison Bryant,TE,101
Gronkowski,Rob,TBA,0,Rob Gronkowski,TE,95
McBride,Trey,Cardinals,14,Trey McBride,TE,103
Smith,Jonnu,Falcons,11,Jonnu Smith,TE,96
Otton,Cade,Buccaneers,5,Cade Otton,TE,109
Parham,Donald,Chargers,5,Donald Parham,TE,82
Okwuegbunam,Albert,Broncos,9,Albert Okwuegbunam,TE,86
Thomas,Logan,Redskins,14,Logan Thomas,TE,105
Schoonmaker,Luke,Cowboys,7,Luke Schoonmaker,TE,67
